Total Nacional	Comunidades y Ciudades Autónomas	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2021	5.058.138
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2020	5.057.353
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2019	5.003.769
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2018	4.963.703
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2017	4.941.509
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2016	4.959.968
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2015	4.980.689
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2014	5.004.844
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2013	5.113.815
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2012	5.129.266
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2011	5.117.190
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2010	5.111.706
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2009	5.094.675
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2008	5.029.601
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2007	4.885.029
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2006	4.806.908
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2005	4.692.449
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2004	4.543.304
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2003	4.470.885
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2002	4.326.708
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2001	4.202.608
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2000	4.120.729
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2022	1.054.776
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2021	1.059.501
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2020	1.063.987
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2019	1.067.710
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2018	1.072.863
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2017	1.079.920
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2016	1.087.778
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2015	1.092.997
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2014	1.099.632
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2013	1.104.004
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2012	1.108.130
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2011	1.109.367
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2010	1.107.220
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2009	1.102.410
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2008	1.097.744
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2007	1.089.990
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2006	1.086.373
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2005	1.083.879
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2004	1.075.286
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2003	1.073.904
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2002	1.073.050
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2001	1.073.381
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2000	1.069.420
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2022	2.690.464
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2021	2.695.645
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2020	2.701.819
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2019	2.699.499
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2018	2.701.743
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2017	2.708.339
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2016	2.718.525
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2015	2.732.347
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2014	2.748.695
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2013	2.765.940
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2012	2.781.498
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2011	2.795.422
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2010	2.797.653
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2009	2.796.089
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2008	2.784.169
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2007	2.772.533
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2006	2.767.524
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2005	2.762.198
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2004	2.750.985
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2003	2.751.094
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2002	2.737.370
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2001	2.732.926
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2000	2.731.900
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2022	6.750.336
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2021	6.751.251
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2020	6.779.888
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2019	6.663.394
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2018	6.578.079
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2017	6.507.184
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2016	6.466.996
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2015	6.436.996
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2014	6.454.440
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2013	6.495.551
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2012	6.498.560
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2011	6.489.680
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2010	6.458.684
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2009	6.386.932
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2008	6.271.638
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2007	6.081.689
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2006	6.008.183
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2005	5.964.143
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2004	5.804.829
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2003	5.718.942
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2002	5.527.152
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2001	5.372.433
Total Nacional	13 Madrid, Comunidad de	TOTAL EDADES	TOTAL	Ambos sexos	2000	5.205.408
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2022	1.531.878
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2021	1.518.486
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2020	1.511.251
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2019	1.493.898
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2018	1.478.509
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2017	1.470.273
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2016	1.464.847
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2015	1.467.288
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2014	1.466.818
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2013	1.472.049
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2012	1.474.449
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2011	1.470.069
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2010	1.461.979
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2009	1.446.520
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2008	1.426.109
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2007	1.392.117
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2006	1.370.306
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2005	1.335.792
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2004	1.294.694
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2003	1.269.230
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2002	1.226.993
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2001	1.190.378
Total Nacional	14 Murcia, Región de	TOTAL EDADES	TOTAL	Ambos sexos	2000	1.149.328
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2022	664.117
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2021	661.537
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2020	661.197
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2019	654.214
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2018	647.554
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2017	643.234
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2016	640.647
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2015	640.476
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2014	640.790
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2013	644.477
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2012	644.566
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2011	642.051
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2010	636.924
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2009	630.578
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2008	620.377
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2007	605.876
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2006	601.874
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2005	593.472
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2004	584.734
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2003	578.210
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2002	569.628
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2001	556.263
Total Nacional	15 Navarra, Comunidad Foral de	TOTAL EDADES	TOTAL	Ambos sexos	2000	543.757
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2022	2.208.174
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2021	2.213.993
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2020	2.220.504
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2019	2.207.776
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2018	2.199.088
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2017	2.194.158
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2016	2.189.534
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2015	2.189.257
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2014	2.188.985
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2013	2.191.682
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2012	2.193.093
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2011	2.184.606
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2010	2.178.339
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2009	2.172.175
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2008	2.157.112
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2007	2.141.860
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2006	2.133.684
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2005	2.124.846
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2004	2.115.279
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2003	2.112.204
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2002	2.108.281
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2001	2.101.478
Total Nacional	16 País Vasco	TOTAL EDADES	TOTAL	Ambos sexos	2000	2.098.596
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2022	319.892
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2021	319.796
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2020	319.914
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2019	316.798
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2018	315.675
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2017	315.381
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2016	315.794
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2015	317.053
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2014	319.002
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2013	322.027
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2012	323.609
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2011	322.955
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2010	322.415
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2009	321.702
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2008	317.501
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2007	308.968
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2006	306.377
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2005	301.084
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2004	293.553
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2003	287.390
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2002	281.614
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2001	270.400
Total Nacional	17 Rioja, La	TOTAL EDADES	TOTAL	Ambos sexos	2000	264.178
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2022	83.117
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2021	83.517
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2020	84.202
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2019	84.777
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2018	85.144
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2017	84.959
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2016	84.519
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2015	84.263
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2014	84.963
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2013	84.180
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2012	84.018
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2011	82.376
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2010	80.579
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2009	78.674
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2008	77.389
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2007	76.603
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2006	75.861
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2005	75.276
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2004	74.654
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2003	74.931
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2002	76.152
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2001	75.694
Total Nacional	18 Ceuta	TOTAL EDADES	TOTAL	Ambos sexos	2000	75.241
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2022	85.170
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2021	86.261
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2020	87.076
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2019	86.487
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2018	86.384
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2017	86.120
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2016	86.026
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2015	85.584
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2014	84.509
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2013	83.679
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2012	80.802
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2011	78.476
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2010	76.034
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2009	73.460
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2008	71.448
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2007	69.440
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2006	66.871
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2005	65.488
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2004	68.016
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2003	68.463
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2002	69.184
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2001	68.789
Total Nacional	19 Melilla	TOTAL EDADES	TOTAL	Ambos sexos	2000	66.263
